chunk_index,heading,page_num,chunk_text
403,8.5.2 Revisiting the Video Store,323,"interface to prevent breaking dependent systems. A disadvantage is that a larger in- terface has to be maintained but when delegation or wrapping was used, that should not be too much work. Furthermore, language features like deprecation can be used to signal that this part of the interface is outdated. 5 In fact, direct inspection of ﬁelds of a class is a test smell that could better be removed beforehand [518]. 8 On the Interplay Between Software Testing and Evolution 187 Fig. 8.1. Classes before refactoring Classiﬁcation We have analyzed the refactorings in [183] and divided them into the following classes: A. Composite: The four big refactorings Convert Procedural Design to Objects, Separate Domain from Presentation, Tease Apart Inheritance, and Extract Hi- erarchy will change the original interface, but we will not consider them in more detail since they are performed as series of smaller refactorings. B. Compatible: Refactorings that do not change the original interface. Refactorings in this class are listed in Table 8.1. C. Backwards Compatible: Refactorings that change the original interface and are inherently backwards compatible since they extend the interface. Refactorings in this class are listed in Table 8.2. D. Make Backwards Compatible: Refactorings that change the original interface and can be made backwards compatible by adapting the new interface to the new one. Refactorings in this class are listed in Table 8.3. E. Incompatible: Refactorings that change the original interface and are not back- wards compatible (for example, because they change the types of classes that are involved). Refactorings in this class are listed in Table 8.4. Note that the refactorings Replace Inheritance with Delegation and Replace Delega- tion with Inheritance are listed both in the Compatible and Backwards Compatible tables since they can be of either category, depending on the actual case. 8.5.2 Revisiting the Video Store"
404,"188
L. Moonen et al.",324,"Refactorings in this class are listed in Table 8.4. Note that the refactorings Replace Inheritance with Delegation and Replace Delega- tion with Inheritance are listed both in the Compatible and Backwards Compatible tables since they can be of either category, depending on the actual case. 8.5.2 Revisiting the Video Store In this section, we study the relationship between testing and refactoring using a well- known example of refactoring. We revisit the video store code used by Fowler [183, Chapter 1], extending it with an analysis of what should be going on in the accom- panying video store test code. The video store class structure before refactoring is shown in Figure 8.1. It con- sists of a Customer, who is associated with a series of Rentals, each consisting of a Movie and an integer indicating the number of days the movie was rented. The key functionality is in the Customer’s statement method printing a customer’s total rental cost. Before refactoring, this statement is printed by a single long method. After refactoring, the statement functionality is moved into appropriate classes, re- sulting in the structure of Figure 8.2 taken from [183, p. 51]. Fowler emphasizes the need to conduct refactorings as a sequence of small steps. At each step, you must run the tests in order to verify that nothing essential has 188 L. Moonen et al. Table 8.1. Compatible refactorings (type B) Change Bidirectional Association to Unidirectional Replace Exception with Test Replace Nested Conditional with Guard Clauses Change Reference to Value Replace Magic Number with Symbolic Constant Split Temporary Variable Consolidate Duplicate Conditional Fragments Decompose Conditional Replace Conditional with Polymorphism Introduce Null Object Replace Inheritance with Delegation Preserve Whole Object Replace Delegation with Inheritance Remove Control Flag Replace Method with Method Object Substitute Algorithm Remove Assignments to Parameters Introduce Assertion Replace Data Value with Object Extract Class Introduce Explaining Variable Inline Temp"
405,"8 On the Interplay Between Software Testing and Evolution
189",325,"Conditional Fragments Decompose Conditional Replace Conditional with Polymorphism Introduce Null Object Replace Inheritance with Delegation Preserve Whole Object Replace Delegation with Inheritance Remove Control Flag Replace Method with Method Object Substitute Algorithm Remove Assignments to Parameters Introduce Assertion Replace Data Value with Object Extract Class Introduce Explaining Variable Inline Temp Table 8.2. Backwards compatible refactorings (type C) Replace Inheritance with Delegation Replace Temp with Query Push Down Method Replace Delegation with Inheritance Duplicate Observed Data Push Down Field Consolidate Conditional Expression Self Encapsulate Field Pull Up Method Replace Record with Data Class Form Template Method Extract Method Introduce Foreign Method Extract Superclass Pull Up Field Pull Up Constructor Body Extract Interface Table 8.3. Refactorings that can be made backwards compatible (type D) Change Unidirectional Association to Bidirectional Remove Middle Man Replace Parameter with Explicit Methods Remove Parameter Replace Parameter with Method Add Parameter Separate Query from Modiﬁer Rename Method Introduce Parameter Object Move Method Parameterize Method Table 8.4. Incompatible refactorings (type E) Replace Constructor with Factory Method Remove Setting Method Replace Type Code with State/Strategy Encapsulate Downcast Replace Type Code with Subclasses Collapse Hierarchy Replace Error Code with Exception Encapsulate Field Replace Subclass with Fields Extract Subclass Replace Type Code with Class Hide Delegate Change Value to Reference Inline Method Introduce Local Extension Inline Class Replace Array with Object Hide Method Encapsulate Collection Move Field 8 On the Interplay Between Software Testing and Evolution 189 Fig. 8.2. Class structure after refactoring changed. His testing approach is the following: “I create a few customers, give each customer a few rentals of various kinds of ﬁlms, and generate the statement strings. I then do a string comparison between the new string and some reference strings that I have hand checked” [183, p. 8]. Although Fowler does not list his test classes, this typically should look like the code in Figure 8.3."
406,"190
L. Moonen et al.",326,"of various kinds of ﬁlms, and generate the statement strings. I then do a string comparison between the new string and some reference strings that I have hand checked” [183, p. 8]. Although Fowler does not list his test classes, this typically should look like the code in Figure 8.3. Studying this string-based testing method, we make the following observations: • The setup is complicated, involving the creation of many different objects. • The documentation value of the test is limited: it is hard to relate the computation of the charge of 4.5 for movie m1 to the way in which charges are computed for the actual movies rented (in this case a children’s and a regular movie, each with their own price computation). • The tests are brittle. All test cases include a full statement string. When the format changes in just a very small way, all existing tests (!) must be adjusted, an error prone activity we would like to avoid. Unfortunately, there is no other way to write tests for the given code. The poor struc- ture of the long method necessarily leads to an equally poor structure of the test cases. From a testing perspective, we would like to be able to separate computations from report writing. The long statement method prohibits this: it needs to be refactored in order to be able to improve the testability of the code. This way of reasoning naturally leads to the application of the Extract Method refactoring to the statement method. Fowler comes to the same conclusion, based on the need to write a new method printing a statement in HTML format. Thus, we 190 L. Moonen et al. Movie m1 = new Movie(""m1"",Movie.CHILDRENS); Movie m2 = new Movie(""m2"", Movie.REGULAR); Movie m3 = new Movie(""m3"", Movie.NEW_RELEASE); Rental r1 = new Rental(m1, 5); Rental r2 = new Rental(m2, 7); Rental r3 = new Rental(m3, 1); Customer c1 = new Customer(""c1""); Customer c2 = new Customer(""c2"");"
407,"190
L. Moonen et al.",326,"190 L. Moonen et al. Movie m1 = new Movie(""m1"",Movie.CHILDRENS); Movie m2 = new Movie(""m2"", Movie.REGULAR); Movie m3 = new Movie(""m3"", Movie.NEW_RELEASE); Rental r1 = new Rental(m1, 5); Rental r2 = new Rental(m2, 7); Rental r3 = new Rental(m3, 1); Customer c1 = new Customer(""c1""); Customer c2 = new Customer(""c2""); public void setUp() { c1.addRental(r1); c1.addRental(r2); c2.addRental(r3); } public void testStatement1() { String expected = ""Rental Record for c1\n"" + ""\tm1\t4.5\n"" + ""\tm2\t9.5\n"" + ""Amount owed is 14.0\n"" + ""You earned 2 frequent renter points""; assertEquals(expected, c1.statement()); } Fig. 8.3. Initial sample test code extract getCharge for computing the charge of a rental, and getPoints for computing the “frequent renter points”. Extract Method is of type C, the backwards compatible refactorings, so we can use our existing tests to check the refactoring. However, we have created new meth- ods, for which we might like to add tests that document and verify their speciﬁc behavior. To create such tests, we can reuse the setup of movies, rentals, and cus- tomers used for testing the statement method. We end up with a number of smaller test cases speciﬁcally addressing either the charge or rental point computations. Since the correspondence between test code and actual code is now much clearer and better focused, we can apply white box testing, and use our knowledge of the structure of the code to determine the test cases needed. Thus, we see that the getCharge method to be tested distinguishes between 5 cases, and we make sure our tests cover these cases. This has solved some of the problems. The tests are better understandable, more complete, much shorter, and less brittle. Unfortunately, we still have the complicated setup method. What we see is that the setup mostly involves rentals and movies, while the tests themselves are in the customer testing class. This is because the ex- tracted method is in the wrong class: applying Move Method to Rental simpliﬁes the set up for new test cases. Again we use our analysis of the test code to ﬁnd refactor- ings in the production code."
408,"8 On the Interplay Between Software Testing and Evolution
191",327,"tests themselves are in the customer testing class. This is because the ex- tracted method is in the wrong class: applying Move Method to Rental simpliﬁes the set up for new test cases. Again we use our analysis of the test code to ﬁnd refactor- ings in the production code. 8 On the Interplay Between Software Testing and Evolution 191 The Move Method is of type D, refactorings that can be made backwards com- patible by adding a wrapper method to retain the old interface. We add this wrapper so we can check the refactoring with our original tests. However, since the docu- mentation of the method is in the test, and this documentation should be as close as possible to the method documented, we want to move the tests to the method’s new location. Since there is no test class for Rental yet, we create it, and move the test methods for getCharge to it. Depending on whether the method was part of a pub- lished interface, we might want to keep the wrapper (for some time), or remove it together with the original test. Fowler discusses several other refactorings, moving the charge and point calcula- tions further down to the Movie class, replacing conditional logic by polymorphism in order to make it easier to add new movie types, and introducing the state design pattern in order to be able to change movie type during the life time of a movie. When considering the impact on test cases of these remaining video store refac- torings, we start to recognize a pattern: • Studying the test code and the smells contained in it may help to identify refac- torings to be applied at the production code; • Many refactorings involve a change to the structure of the unit tests as well:"
409,8.5.3 Test-Driven Refactoring,327,"remaining video store refac- torings, we start to recognize a pattern: • Studying the test code and the smells contained in it may help to identify refac- torings to be applied at the production code; • Many refactorings involve a change to the structure of the unit tests as well: in order to maintain the documenting value of these unit tests, they should be changed to reﬂect the structure of the code being tested. In the next two sections, we take a closer look at these issues. 8.5.3 Test-Driven Refactoring In test-driven refactoring, we try to use the existing test cases in order to determine the code-level refactorings. Thus, we study test code in order to ﬁnd improvements to the production code. This calls for a set of code smells that helps to ﬁnd such refactorings. A ﬁrst cat- egory is the set of existing code smells discussed in Fowler’s book [183]. Several of them, such as long method, duplicated code, long parameter list, and so on, apply to test code as well as they do to production code. In many cases solving them involves not just a change on the test code, but ﬁrst of all a refactoring of the production code. A second category of smells is the collection of test smells discussed in Sec- tion 8.4 (also see [518]). In fact, in our movie example we encountered several of them already. Our uneasy feeling with the test case of Figure 8.3 is captured by the Sensitive Equality smell [518, Smell 10]: comparing computed values to a string lit- eral representing the expected value. Such tests depend on many irrelevant details, such as commas, quotes, tabs, ...This is exactly why the customer tests of Figure 8.3 become brittle. Another test smell we encountered is called Indirect Testing [518, Smell 8]: a test class contains methods that actually perform tests on other objects. Indirect tests make it harder to understand the relationship between test and production code. While moving the getCharge and getPoints methods in the class hierarchy (using Move Method), we also moved the corresponding test cases, in order to avoid Indi- rect Testing."
410,8.5.4 Refactoring Test Code,328,"methods that actually perform tests on other objects. Indirect tests make it harder to understand the relationship between test and production code. While moving the getCharge and getPoints methods in the class hierarchy (using Move Method), we also moved the corresponding test cases, in order to avoid Indi- rect Testing. 192 L. Moonen et al. The test-driven perspective may lead to the formulation of additional test smells. For example, we observed that setting up the ﬁxture for the CustomerTest was com- plicated. This indicates that the tests are in the wrong class, or that the underlying business logic is not well isolated. Another smell appears when there are many test cases for a single method, indicating that the method is too complex. Test-driven refactoring is a natural consequence of test-driven design. Test-driven design is a way to get a good design by thinking about test cases ﬁrst when adding functionality. Test-driven refactoring is a way to improve your design by rethinking the way you structured your tests. In fact, Beck’s work on test-driven design [51, 52] contains an interesting ex- ample that can be transferred to the refactoring domain. It involves testing the con- struction of a mortality table. His ﬁrst attempt requires a complicated setup, involv- ing separate “person” objects. He then rejects this solution as being overly complex for testing purposes, and proposes the construction of a mortality table with just an age as input. His example illustrates how test case construction guides design when building new code; likewise, test case refactoring guides the improvement of design during refactoring. 8.5.4 Refactoring Test Code In our study of the video store example, we saw that many refactorings on the code level can be completed by applying a corresponding refactoring on the test case level. For example, to avoid Indirect Testing, the refactoring Move Method should be fol- lowed by “Move Test”. Likewise, in many cases Extract Method should be followed by “Extract Test”. To retain the documentation value of the unit tests, their structure should be in sync with the structure of the source code."
411,"8 On the Interplay Between Software Testing and Evolution
193",329,"example, to avoid Indirect Testing, the refactoring Move Method should be fol- lowed by “Move Test”. Likewise, in many cases Extract Method should be followed by “Extract Test”. To retain the documentation value of the unit tests, their structure should be in sync with the structure of the source code. In our opinion, it makes sense to extend the existing descriptions of refactorings with suggestions on what to do with the corresponding unit tests, for example in the “mechanics” part. The topic of refactoring test code is discussed extensively in Section 8.4. An issue of concern when changing test code is that we may “lose” test cases. When refactoring production code, the availability of tests forms a safety net that guards us from accidentally losing code, but such a safety net is not in place when modifying test code. A solution is to measure coverage [346] before and after changing the tests, e.g. with the help of Clover [108] or Emma [469]. One step further is mutation testing, using a tool such as Jester [379, 470]. Jester automatically makes changes to conditions and literals in Java source code. If the code is well-tested, such changes should lead to failing tests. Running Jester before and after test case refactorings helps to verify that the changes did not affect test coverage. 8.5.5 Refactoring Sessions The meaningful unit of refactoring is a sequence of steps involving changes to both the code base and the test base. We propose the notion of a refactoring session to capture such a sequence. It consists of the following steps: 8 On the Interplay Between Software Testing and Evolution 193 1. Detect smells in the code or test code that need to be ﬁxed. In test-driven refac- toring, the test set is the starting point for ﬁnding such smells. 2. Identify candidate refactorings addressing the smell. 3. Ensure that all existing tests run. 4. Apply the selected refactoring to the code. Provide a backwards compatible in-"
412,8.6 Measuring Code and Test Code,329,"or test code that need to be ﬁxed. In test-driven refac- toring, the test set is the starting point for ﬁnding such smells. 2. Identify candidate refactorings addressing the smell. 3. Ensure that all existing tests run. 4. Apply the selected refactoring to the code. Provide a backwards compatible in- terface if the refactoring falls in category D. Only change the associated test classes when the refactoring falls in category E. 5. Ensure that all existing tests run. Consider applying mutation testing to assess the coverage of the test cases. 6. Apply the testing counterpart of the selected refactoring. 7. Ensure that the modiﬁed tests still run. Check that the coverage has not changed. 8. Extend the test cases now that the underlying code has become easier to test. 9. Ensure the new tests run. The integrity of the code is ensured since (1) all tests are run between each step; (2) each step changes either code or tests, but never both at the same time (unless this is impossible). 8.6 Measuring Code and Test Code In the previous sections we have seen how test suites affect program comprehension, how test suites themselves can be subjected to refactoring, and how refactoring of the production code is reﬂected in the test code. The last thing we investigate is whether there is a relation (correlation) between certain properties of the production code and those of the test code. We look at one property in particular, namely the testability of production code, based on our earlier work on ﬁnding testability metrics for Java systems [89]. For our investigation, we take advantage of the popularity of the JUnit frame- work [262]. JUnit’s typical usage scenario is to test each Java class C by means of a dedicated test class CT , generating pairs of the form ⟨C,CT⟩. The route then that we pursue is to use these pairs to ﬁnd source code metrics on C that are good predictors of test-related metrics on CT."
413,"194
L. Moonen et al.",330,"scenario is to test each Java class C by means of a dedicated test class CT , generating pairs of the form ⟨C,CT⟩. The route then that we pursue is to use these pairs to ﬁnd source code metrics on C that are good predictors of test-related metrics on CT. To elaborate this route, we ﬁrst deﬁne the notion of testability that we address, then describe the experimental design that can be used to explore the hypothesis, followed by a discussion of initial experimental results. 8.6.1 Testability The ISO deﬁnes testability as “attributes of software that bear on the effort needed to validate the software product” [240]. Binder [65] offers an analysis of the var- ious factors that contribute to a system’s testability, which he visualizes using the ﬁsh bone diagram as shown in Figure 8.4. The major factors determining test ef- fort that Binder distinguishes include the test adequacy criterion that is required, the usefulness of the documentation, the quality of the implementation, the reusability 194 L. Moonen et al. and structure of the test suite, the suitability of the test tools used, and the process capabilities. Of these factors, we are concerned with the structure of the implementation, and with source code factors in particular. One group of factors we distinguish are test case generation factors, which inﬂuence the number of test cases required. An exam- ple is the testing criterion (test all branches, test all inherited methods), but directly related are characteristics of the code itself (use of if-then-else statements, use of inheritance). The other group of factors we distinguish are test case construction factors, which are related to the effort needed to create a particular test case. Such factors include the complexity of creating instances for a given class, or the number of ﬁelds that need to be initialized."
414,8.6.2 Experimental Design,331,"use of inheritance). The other group of factors we distinguish are test case construction factors, which are related to the effort needed to create a particular test case. Such factors include the complexity of creating instances for a given class, or the number of ﬁelds that need to be initialized. Fig. 8.4. The testability ﬁsh-bone [65, 89] 8 On the Interplay Between Software Testing and Evolution 195 8.6.2 Experimental Design Our goal is to assess the capability of a suite of object-oriented metrics to predict testing effort. We assess this capability from a class level perspective, i.e., we assess whether or not the values of object-oriented metrics for a given class can predict the required amount of effort needed for unit testing that class. The particular envi- ronment in which we conduct the experiments consists of Java systems that are unit tested at the class level using the JUnit testing framework. To help us translate the goal into measurements, we pose questions that pertain to the goal: Question 1: Are the values of the object-oriented metrics for a class associ- ated with the required testing effort for that class? To answer this question, we must ﬁrst quantify “testing effort.” To indicate the testing effort required for a class we use the size of the corresponding test suite. Well-known cost models such as Boehm’s COCOMO [72] and Putnam’s SLIM model [421] relate development cost and effort to software size. Test suites are software in their own right; they have to be developed and maintained just like ‘normal’ software. Below we will see which metrics we use to measure the size of a test suite. Next, we can reﬁne our original question, and obtain the following new question: Question 2: Are the values of the object-oriented metrics for a class associ- ated with the size of the corresponding test suite?"
415,"196
L. Moonen et al.",332,"we will see which metrics we use to measure the size of a test suite. Next, we can reﬁne our original question, and obtain the following new question: Question 2: Are the values of the object-oriented metrics for a class associ- ated with the size of the corresponding test suite? From these questions we can derive a hypothesis that our experiments test: H0(m,n): There is no association between object-oriented metric m and test suite metric n, H1(m,n): There is an association between object-oriented metric m and test suite metric n, where m ranges over our set of object-oriented metrics, and n over our set of test-suite based metrics. As a candidate set of object-oriented metrics, we use the suite proposed by Binder [65] as a starting point. Binder is interested in testability as well, and uses a model distinguishing “complexity” and “scope” factors, which are similar to our test case construction and generation factors. The metrics used by Binder are based on the well known metrics suite provided by Chidamber and Kemerer [111], who for some of their metrics (such as the Coupling Between Objects and the Response for Class) already suggested that they would have a bearing on test effort. The metrics that we have used in our experiments are listed in Table 8.5. For our experiments we propose the dLOCC (Lines Of Code for Class) and dNOTC (Number of Test Cases) metrics to indicate the size of a test suite. The ‘d’ prepended to the names of these metrics denotes that they are the dependent vari- ables of our experiment, i.e., the variables we want to predict. The dLOCC metric is deﬁned like the LOCC metric. 196 L. Moonen et al. Table 8.5. Metrics suite used for assessing testability of a class c Metric Description DIT Depth of inheritance tree FOUT Fan out, nr of classes used by c LCOM Lack of cohesion in methods—which measures how ﬁelds are used in methods LOCC Lines of code per class NOC Number of children NOF Number of ﬁelds NOM Number of methods RFC Response for class—Methods in c plus the number of methods invoked by c. WMC Weighted methods per class—sum of McCabe’s cyclomatic complexity number of all methods."
416,"196
L. Moonen et al.",332,"ﬁelds are used in methods LOCC Lines of code per class NOC Number of children NOF Number of ﬁelds NOM Number of methods RFC Response for class—Methods in c plus the number of methods invoked by c. WMC Weighted methods per class—sum of McCabe’s cyclomatic complexity number of all methods. The dNOTC metric provides a different perspective on the size of a test suite. It is calculated by counting the number of invocations of JUnit ‘assert’ methods that occur in the code of a test class. JUnit provides the tester with a number of different ‘assert’ methods, for example ‘assertTrue’, ‘assertFalse’ or ‘assertEqual’. The opera- tion of these methods is the same; the parameters passed to the method are tested for compliance to some condition, depending on the speciﬁc variant. For example, ‘as- sertTrue’ tests whether or not its parameter evaluates to ‘true’. If the parameters do not satisfy the condition, the framework generates an exception that indicates a test has failed. Thus, the tester uses the set of JUnit ‘assert’ methods to compare the ex- pected behavior of the class-under-test to its current behavior. Counting the number of invocations of ‘assert’ methods, gives the number of comparisons between ex- pected and current behavior which we consider an appropriate deﬁnition of a test case. Conducting the measurements yields a series of values ⟨m,n⟩of object-oriented metric m and test suite metric n for a series of pairs ⟨C,CT⟩of a class C and its corresponding test class CT. To test the hypotheses, we calculate Spearman’s rank- order correlation (which does not require a normal distribution of the data), yielding values rs(m,n) for metrics m and n. The signiﬁcance (related to the number of ob- servations made) of the value of rs found is subsequently determined by calculating the t-statistic, yielding a value p indicating the chance that the observed value is the result of a chance event, allowing us to accept H1(m,n) with conﬁdence level 1 −p."
417,"8 On the Interplay Between Software Testing and Evolution
197",333,"signiﬁcance (related to the number of ob- servations made) of the value of rs found is subsequently determined by calculating the t-statistic, yielding a value p indicating the chance that the observed value is the result of a chance event, allowing us to accept H1(m,n) with conﬁdence level 1 −p. 8.6.3 Experimental Results Experiments were conducted on ﬁve software systems, of which four were closed source software products developed at the Software Improvement Group (SIG)6. Additionally, we included Apache Ant [18], an open source automation tool for soft- ware development. All systems are written in Java and the systems totaled over 290 KLOC. 6 http://www.sig.nl. 8 On the Interplay Between Software Testing and Evolution 197 The key results for the Ant case study are shown in Table 8.6; similar results were obtained for the other case studies. The experiment shows that there is a signiﬁcant correlation between test level metrics dLOCC (Lines of Code for Class) and dNOT (Number of Testcases) and various class level metrics: • There are several metrics related to size, in particular LOCC, NOM, and WMC. Since size can be considered a test case generation (we need more test cases) as well as a test case construction factor (larger classes become harder to test), it is natural that these metrics are correlated with test effort. • The inheritance related metrics DIT (depth of inheritance tree) and NOC (num- ber of subclasses) are not correlated with test metrics. In principle, test strategies in which, for example, extra subclasses lead to more intensive testing of the su- perclass, could cause NOC or DIT to be predictors of test effort. Apparently in the case studies these strategies were not adopted. • Two metrics measuring external dependencies are Fan Out (FOUT) and Re- sponse-for-Class (RFC). Both are clearly correlated with both test suite metrics. • The metrics LCOM (Lack of Cohesion of Methods) and NOF (Number of"
418,8.7.1 Retrospective,334,"predictors of test effort. Apparently in the case studies these strategies were not adopted. • Two metrics measuring external dependencies are Fan Out (FOUT) and Re- sponse-for-Class (RFC). Both are clearly correlated with both test suite metrics. • The metrics LCOM (Lack of Cohesion of Methods) and NOF (Number of Fields) are correlated with the test metrics for the Ant case as well, but not for the four commercial case studies. One can expect NOF to be an indicator for test effort, for example, for initializing ﬁelds in a class. In cases where NOF is not an indicator, this may be due to the fact that the NOF metric only measures ﬁelds introduced in a particular class, and not ﬁelds inherited from superclasses. Based on these ﬁndings, we conclude with the following observation: Observation 6 Traditional object-oriented source code metrics applied to production code can indicate the effort needed for developing unit tests. We refer to Bruntink and Van Deursen for a full account of the experiments described above [89]. Table 8.6. Correlation values and conﬁdence levels found for Ant rs dLOCC dNOTC p dLOCC dNOTC DIT -.0456 -.201 FOUT .465 .307 LCOM .437 .382 LOCC .500 .325 NOC .0537 -.0262 NOF .455 .294 NOM .532 .369 RFC .526 .341 WMC .531 .348 DIT .634 .0344 FOUT < .01 < .01 LCOM < .01 < .01 LOCC < .01 < .01 NOC .575 .785 NOF < .01 < .01 NOM < .01 < .01 RFC < .01 < .01 WMC < .01 < .01 198 L. Moonen et al. 8.7 Concluding Remarks In this section we ﬁrst look back on the interplay between software testing and evo- lution. We then present a research agenda with a number of future research tracks, which are currently left unexplored. 8.7.1 Retrospective Based upon Observation 1 (see page 177), which states that an extensive test suite can stimulate the program comprehension process in the light of continuously evolv- ing software, we have investigated the interactions between software evolution, soft- ware testing and program comprehension that exist in extreme programming in Sec- tion 8.3. Naturally, some (or all) of these elements are used in other development processes as well. For example, Humphrey stresses the importance of inspections, software quality assurance, and testing [236]. The Rational Uniﬁed Process empha- sizes short iterations, architecture centric software development, and use cases [299]. Key publications on extreme programming [50, 254, 48] cover many issues related to comprehension, such as code expressing intent, feedback from the system, and tests to document code."
419,8.7.1 Retrospective,334,"software quality assurance, and testing [236]. The Rational Uniﬁed Process empha- sizes short iterations, architecture centric software development, and use cases [299]. Key publications on extreme programming [50, 254, 48] cover many issues related to comprehension, such as code expressing intent, feedback from the system, and tests to document code. From our observation that test code has a distinct set of smells (see Observa- tion 2, page 180), we looked at test code from the perspective of refactoring. Our own experiences are that the quality of test code is not as high as the quality of the production code. Test code was not refactored as mercilessly as production code, following Fowler’s advice that it is acceptable to copy and edit test code, trusting our ability to refactor out truly common items later [183, p. 102]. When at a later stage we started refactoring test code more intensively, we discovered that test code has its own set of problems (which we translated into smells) as well as its own repertoire of solutions (which we formulated as test refactorings). For each test smell that we identiﬁed, we have provided a solution, using ei- ther a potentially specialized variant of an existing refactoring from Fowler [183] or a dedicated test refactoring. We believe that the resulting smells and refactorings provide a valuable starting point for a larger collection based on a broader set of projects. This is in line with our Observation 3 (see page 180). Observation 4 (see page 185) states that when applying the refactorings as pro- posed by Fowler [183] on production code, a classiﬁcation can be made based on whether these refactorings necessitate refactoring the test code as well. In Section 8.5 we have analyzed which of the documented refactorings affect the test code. It turns out that the majority of the refactorings are in category D (requiring explicit actions to keep the interface compatible) and E (necessarily requiring a change to the test code). We have shown the implications of refactoring tests with the help of Fowler’s video store example. We then proposed the notion of test-driven refactoring, which uses the existing test cases as the starting point for ﬁnding suitable code level refac- torings."
420,"8 On the Interplay Between Software Testing and Evolution
199",335,"E (necessarily requiring a change to the test code). We have shown the implications of refactoring tests with the help of Fowler’s video store example. We then proposed the notion of test-driven refactoring, which uses the existing test cases as the starting point for ﬁnding suitable code level refac- torings. We have argued for the need to extend the descriptions of refactorings with a sec- tion on their implications on the corresponding test code. If the tests are to maintain 8 On the Interplay Between Software Testing and Evolution 199 their documentation value, they should be kept in sync with the structure of the code. As outlined in Observation 5 (see page 185), we propose, as a ﬁrst step, the notion of a refactoring session, capturing a coherent series of separate steps involving changes to both the production and the test code. The impact of program structure on test structure is further illustrated through Observation 6 (page 197), which suggests that traditional object-oriented metrics can be used to estimate test effort. We described an experiment to assess which metrics can be used for this purpose. Note that some of the metrics identiﬁed (such as fan- out or response-for-class) are also indicators for class complexity. This suggests that high values for such metrics may call for refactorings, which in turn may help to reduce the test effort required for unit testing these classes. From our studies we have learned that the interplay between software evolution and software testing is often more complex than meets the eye. The interplay that we witnessed works in two directions: software evolution is hindered by the fact that when evolving a system, the tests often need to co-evolve, making the evolution more difﬁcult and time-intensive. On the other hand, many software evolution operations cannot safely take place without adequate tests being present to enable a safety net. This leads to an almost paradoxical situation where tests are essential for evolving software, yet at the same time, they are obstructing that very evolution."
421,8.7.2 Research Agenda,335,"difﬁcult and time-intensive. On the other hand, many software evolution operations cannot safely take place without adequate tests being present to enable a safety net. This leads to an almost paradoxical situation where tests are essential for evolving software, yet at the same time, they are obstructing that very evolution. Another important factor in this interplay is program comprehension, or the pro- cess of building up knowledge about a system under study, which is of critical im- portance during software evolution. In this context, having a test suite available can be a blessing, as the tests provide documentation about how the software works. At the same time, when no tests are available, writing tests to understand the software is a good way of building up comprehension. We have seen that software evolution and testing are intertwined at the very core of (re)engineering software systems and continue to provide interesting and chal- lenging research topics. 8.7.2 Research Agenda During our study we came across a number of research ideas in the area of software testing and software evolution that are as yet still unexplored. The topics we propose can be seen as an addition or reﬁnement to the topics that were addressed by Harrold in her “Testing: A Roadmap” [224]. Model Driven Engineering MDE [453] is a modeling activity, whereby the traditional activity of writing code manually is replaced by modeling speciﬁcations for the application. Code generation techniques then use these models to generate (partial) code models of the application. This setup ensures the alignment between the models and the executable implemen- tation. A similar approach can be followed when it comes to testing the application: modeling both the application and the tests through speciﬁcations. Muccini et al. consider this as the next logical step [381]. Recently, Pickin et al. have picked up on this research topic in the context of distributed systems [415]."
422,"200
L. Moonen et al.",336,"similar approach can be followed when it comes to testing the application: modeling both the application and the tests through speciﬁcations. Muccini et al. consider this as the next logical step [381]. Recently, Pickin et al. have picked up on this research topic in the context of distributed systems [415]. 200 L. Moonen et al. Aspect Oriented Programming AOP [276] is a programming paradigm that aims to offer an added layer of abstrac- tion that can modularize system-level concerns (also see Chapter 9). However, when these aspects are woven into the base code, some unexpected effects can occur that are difﬁcult to oversee. This can happen (1) when the pointcut is not deﬁned precisely enough, resulting in an aspect being woven in at an unexpected place in the base pro- gram, or (2) because of unexpected results because of aspect composition, when the advice of two separate aspects is woven in. McEachen et al. describe a number of possible fault scenarios that can occur [357], but further research into this area is certainly warranted to prevent such fault scenarios through testing. Test Case Isomorphism Various sources indicate that test cases should be independent of each other because this decreases testing time, increases test output comprehensibility and having con- cise and focused tests increases their beneﬁt as documentation of a speciﬁc aspect of the code [149, 131]. As said, having concise and focused tests decreases the testing time, which partly alleviates the problem of having to do selective regression testing [444, 445]. Another problem situation that is overcome, is the one described by Gaelli et al., whereby broken unit tests are ordered, so that the most speciﬁc unit test can be dealt with ﬁrst [189]. Research questions of interest are how we can characterize and measure this isomorphism and what refactorings can be used to improve this isomorphism. These are related to detecting and removing the test implication smell described earlier."
